
Initial statistics: 136 variables; iteration 0; function evaluation 0; phase 1
Function value 5.3246038e+03; maximum gradient component mag -2.6596e+02
 61 -0.00054 -1.46150e+00 | 62  0.00004 -1.52521e+00 | 63  0.00079 -1.59490e+00
 64  0.00173 -1.67202e+00 | 65  0.00289 -1.75793e+00 | 66  0.00431 -1.85631e+00
 67  0.00600 -1.96934e+00 | 68  0.00798 -2.09889e+00 | 69  0.01025 -2.24504e+00
 70  0.01283 -2.40321e+00 | 71  0.01574 -2.56580e+00 | 72  0.01892 -2.72901e+00
 73  0.02221 -2.90283e+00 | 74  0.02536 -3.09856e+00 | 75  0.02822 -3.29930e+00
 76  0.03061 -3.48655e+00 | 77  0.03216 -3.67709e+00 | 78  0.03266 -3.87663e+00
 79  0.03231 -4.04649e+00 | 80  0.03136 -4.16502e+00 | 81  0.02981 -4.25564e+00
 82  0.02758 -4.34126e+00 | 83  0.02471 -4.41676e+00 | 84  0.02123 -4.46048e+00
 85  0.01721 -4.46295e+00 | 86  0.01270 -4.44662e+00 | 87  0.00810 -4.42075e+00
 88  0.00403 -4.37384e+00 | 89  0.00088 -4.31913e+00 | 90 -0.00119 -4.26655e+00
 91 -0.00224 -4.20303e+00 | 92 -0.00251 -4.10476e+00 | 93 -0.00229 -3.97415e+00
 94 -0.00161 -3.83451e+00 | 95  0.00015 -3.62739e+00 | 96  0.00329 -3.23798e+00
 97  0.00517 -2.95717e+00 | 98  0.00618 -2.68215e+00 | 99  0.00588 -2.44408e+00
100  0.00839 -1.58933e+00 |101  0.00963 -7.00381e-01 |102  0.00923  2.01116e-01
103  0.01171  1.74318e+00 |104  0.00690  1.83602e+00 |105  0.00079  5.34414e-01
106  0.02207  3.44339e+00 |107  0.03611  5.97728e+00 |108  0.01256  2.79506e+00
109  0.01617  2.27601e+00 |110  0.06956  1.15900e+01 |111  0.04846  9.57816e+00
112 -0.01662  2.45251e+00 |113 -0.00579  4.16339e-01 |114  0.01909 -8.20249e-01
115  0.03058  2.05945e+00 |116 -0.01344  3.64901e+00 |117 -0.05668  2.98380e+00
118 -0.05845  4.26396e+00 |119 -0.05427  2.41109e+00 |120 -0.01260  4.48391e+00
121  0.03633  9.79291e+00 |122  0.03213  9.48110e+00 |123 -0.00994  5.93919e+00
124 -0.01909  4.67589e+00 |125 -0.01038  3.52177e+00 |126  0.01816  3.94185e+00
127  0.02887  3.59529e+00 |128  0.03486  3.08536e+00 |129  0.04830  2.97030e+00
130  0.04130  1.79580e+00 |131  0.02514 -4.11587e-01 |132  0.02217  8.89322e-01
133  0.00535  1.92730e-01 |134 -0.01167 -9.76431e-02 |135 -0.01692 -3.10467e-01
136 -0.01775 -5.80232e-01 |137 -0.01268 -1.59756e-01 |138 -0.01355 -1.02596e+00
139 -0.00260 -6.35624e-01 |140  0.01211  8.34396e-01 |141 -0.00045  7.88670e-02
142 -0.00480 -2.52442e-01 |143 -0.00117 -8.05402e-02 |144 -0.00000 -2.46161e-07
145  0.23990 -1.87458e+01 |146  0.15063 -1.85729e+01 |

 - final statistics:
146 variables; iteration 36; function evaluation 50
Function value 5.2845e+03; maximum gradient component mag -8.4682e+00
Exit code = 1;  converg criter 1.0000e+01
Var    Value     Gradient |Var    Value     Gradient |Var    Value     Gradient
  1 -0.42581  5.26437e-01 |  2  0.50986 -2.86583e+00 |  3 -0.09324 -2.04147e+00
  4 -0.14443 -1.66137e+00 |  5 -0.67122  4.43617e-01 |  6 -0.59944  5.40156e-01
  7  0.46623 -3.64246e+00 |  8 -0.17229  1.80978e-02 |  9 -0.06335 -1.13008e+00
 10 -0.49708 -1.03013e+00 | 11 -0.62793 -8.46821e+00 | 12 -0.05523 -7.50593e+00
 13 -0.00959  3.81922e-02 | 14 -0.00979  3.92252e-02 | 15 -0.00998  4.02725e-02
 16 -0.01017  4.13337e-02 | 17 -0.01036  4.24086e-02 | 18 -0.01054  4.34970e-02
 19 -0.01071  4.45987e-02 | 20 -0.01087  4.57134e-02 | 21 -0.01102  4.68406e-02
 22 -0.01116  4.79794e-02 | 23 -0.01128  4.91286e-02 | 24 -0.01139  5.02863e-02
 25 -0.01148  5.14488e-02 | 26 -0.01156  5.26109e-02 | 27 -0.01161  5.37667e-02
