
Initial statistics: 136 variables; iteration 0; function evaluation 0; phase 1
Function value 7.3782814e+03; maximum gradient component mag -3.1050e+02
142 -0.01763  5.22957e-03 |143 -0.00521  1.79588e-01 |144 -0.00037  8.74684e-03
145  0.28338  4.96708e+00 |146  0.19299  4.74875e+00 |

 - final statistics:
146 variables; iteration 1; function evaluation 2
Function value 7.3337e+03; maximum gradient component mag -8.6378e+00
Exit code = 1;  converg criter 1.0000e+01
Var    Value     Gradient |Var    Value     Gradient |Var    Value     Gradient
  1 -0.42372 -6.40724e-01 |  2  0.37105 -8.63775e+00 |  3 -0.12625 -4.74871e+00
  4 -0.01328 -5.59938e+00 |  5 -0.70914 -4.69078e-01 |  6 -0.60415 -2.39904e+00
  7  0.37616 -6.72318e+00 |  8 -0.18539 -7.73017e+00 |  9  0.03389 -6.28210e+00
 10 -0.60949 -2.75982e-01 | 11 -0.62346  1.51743e+00 | 12 -0.09486  3.95304e+00
 13 -0.00978 -8.53270e-02 | 14 -0.00999 -8.84473e-02 | 15 -0.01020 -9.14540e-02
 16 -0.01041 -9.43205e-02 | 17 -0.01061 -9.70228e-02 | 18 -0.01080 -9.95329e-02
 19 -0.01099 -1.01825e-01 | 20 -0.01116 -1.03875e-01 | 21 -0.01132 -1.05661e-01
 22 -0.01147 -1.07160e-01 | 23 -0.01161 -1.08352e-01 | 24 -0.01173 -1.09219e-01
 25 -0.01183 -1.09743e-01 | 26 -0.01192 -1.09911e-01 | 27 -0.01199 -1.09710e-01
 28 -0.01203 -1.09119e-01 | 29 -0.01205 -1.08109e-01 | 30 -0.01205 -1.06633e-01
 31 -0.01202 -1.04638e-01 | 32 -0.01197 -1.02071e-01 | 33 -0.01188 -9.88811e-02
 34 -0.01177 -9.50302e-02 | 35 -0.01162 -9.04970e-02 | 36 -0.01144 -8.52866e-02
 37 -0.01122 -7.94368e-02 | 38 -0.01096 -7.30226e-02 | 39 -0.01066 -6.61617e-02
