
Initial statistics: 136 variables; iteration 0; function evaluation 0; phase 1
Function value 7.2548272e+03; maximum gradient component mag 6.0819e+01
100  0.02950  3.04469e+00 |101 -0.01305  2.50977e+00 |102  0.00664  2.78428e+00
103  0.02154  2.15864e+00 |104  0.03762 -4.48401e-01 |105  0.00366 -1.77461e+00
106 -0.05985 -9.45234e-01 |107 -0.07714 -1.41321e+00 |108 -0.07580 -1.49938e+00
109 -0.03310 -1.61154e+00 |110  0.07204 -1.81640e+00 |111  0.02517 -2.94504e-01
112  0.01566  4.95133e-01 |113 -0.02844  1.18864e-01 |114 -0.06942 -4.62078e-01
115 -0.00950 -2.79158e-01 |116  0.00204 -6.55676e-02 |117 -0.02783  4.01742e-01
118  0.03021  1.58242e+00 |119  0.07447  1.23593e+00 |120  0.01231  7.42859e-01
121  0.08816  1.47984e+00 |122  0.00697 -7.07005e-01 |123  0.13542 -1.85416e+00
124 -0.00350  1.99860e-01 |125 -0.04755 -2.11106e-01 |126 -0.05522  1.09903e+00
127 -0.02092  7.32914e-01 |128  0.09336 -6.07525e-02 |129  0.03170 -1.54045e-01
130  0.01699 -1.01726e-02 |131 -0.02695  2.89902e-01 |132 -0.01630  3.39973e-01
133 -0.00530  1.36523e-01 |134 -0.00033  1.71075e-02 |135  0.28269  1.06864e+00
136  0.19221 -8.76642e-01 |

 - final statistics:
136 variables; iteration 23; function evaluation 27
Function value 7.2546e+03; maximum gradient component mag 1.6193e+00
Exit code = 1;  converg criter 1.0000e+01
Var    Value     Gradient |Var    Value     Gradient |Var    Value     Gradient
  1 -0.42628 -1.43779e+00 |  2 -0.09710 -1.06632e-01 |  3 -0.01062 -3.37202e-02
  4 -0.01086 -3.79672e-02 |  5 -0.01110 -4.22750e-02 |  6 -0.01134 -4.66340e-02
  7 -0.01157 -5.10194e-02 |  8 -0.01179 -5.53776e-02 |  9 -0.01201 -5.96892e-02
 10 -0.01221 -6.39212e-02 | 11 -0.01241 -6.80180e-02 | 12 -0.01260 -7.19532e-02
 13 -0.01277 -7.56974e-02 | 14 -0.01292 -7.91840e-02 | 15 -0.01306 -8.23915e-02
 16 -0.01318 -8.52782e-02 | 17 -0.01329 -8.78109e-02 | 18 -0.01337 -8.99442e-02
 19 -0.01342 -9.16479e-02 | 20 -0.01345 -9.28618e-02 | 21 -0.01345 -9.35458e-02
 22 -0.01343 -9.36586e-02 | 23 -0.01338 -9.31511e-02 | 24 -0.01329 -9.19910e-02
 25 -0.01317 -9.01635e-02 | 26 -0.01301 -8.76340e-02 | 27 -0.01282 -8.44099e-02
 28 -0.01258 -8.04895e-02 | 29 -0.01231 -7.58896e-02 | 30 -0.01199 -7.06354e-02
 31 -0.01163 -6.47660e-02 | 32 -0.01123 -5.83555e-02 | 33 -0.01079 -5.14694e-02
 34 -0.01032 -4.42249e-02 | 35 -0.00983 -3.67467e-02 | 36 -0.00932 -2.91380e-02
 37 -0.00879 -2.15434e-02 | 38 -0.00827 -1.40619e-02 | 39 -0.00776 -6.82252e-03
 40 -0.00728  7.79086e-05 | 41 -0.00683  6.56068e-03 | 42 -0.00643  1.25194e-02
 43 -0.00607  1.79187e-02 | 44 -0.00576  2.27052e-02 | 45 -0.00550  2.67026e-02
 46 -0.00525  2.97058e-02 | 47 -0.00502  3.15860e-02 | 48 -0.00476  3.20844e-02
 49 -0.00447  3.09800e-02 | 50 -0.00410  2.82708e-02 | 51 -0.00362  2.41187e-02
 52 -0.00301  1.87015e-02 | 53 -0.00223  1.27704e-02 | 54 -0.00123  7.21099e-03
 55  0.00002  3.25532e-03 | 56  0.00155  2.25487e-03 | 57  0.00340  5.40481e-03
 58  0.00558  1.32059e-02 | 59  0.00810  2.46334e-02 | 60  0.01094  3.64260e-02
 61  0.01405  4.24011e-02 | 62  0.01733  3.37337e-02 | 63  0.02062  2.69321e-03
 64  0.02377 -5.30525e-02 | 65  0.02661 -1.25349e-01 | 66  0.02905 -1.89177e-01
 67  0.03104 -2.19533e-01 | 68  0.03251 -2.07743e-01 | 69  0.03344 -1.55756e-01
 70  0.03378 -8.57603e-02 | 71  0.03355 -1.04104e-02 | 72  0.03268  5.11136e-02
 73  0.03105  8.37627e-02 | 74  0.02849  7.32517e-02 | 75  0.02499  2.03430e-02
 76  0.02086 -4.77013e-02 | 77  0.01669 -9.38070e-02 | 78  0.01306 -1.00671e-01
 79  0.01032 -8.04330e-02 | 80  0.00851 -5.24390e-02 | 81  0.00738 -2.79938e-02
 82  0.00650 -1.16380e-02 | 83  0.00575 -5.96582e-03 | 84  0.00559 -1.09396e-02
 85  0.00616 -2.19491e-02 | 86  0.00629 -3.45608e-02 | 87  0.00791 -4.47196e-02
 88  0.01044 -5.64725e-02 | 89  0.01440 -6.77330e-02 | 90  0.01470 -3.78987e-02
 91  0.01365 -7.08419e-03 | 92  0.01221  4.82754e-02 | 93  0.00434  1.46000e-01
 94  0.00486  1.39588e-01 | 95  0.02304 -3.10936e-02 | 96  0.01974 -2.96881e-01
 97 -0.00517 -4.38091e-01 | 98  0.01270 -3.38914e-01 | 99  0.07971 -3.15853e-01
100  0.02755 -5.78194e-02 |101 -0.01505 -5.03827e-02 |102  0.00501  2.38261e-01
103  0.01929  2.71576e-01 |104  0.03952  1.96372e-01 |105  0.00459 -5.01889e-01
106 -0.06153 -9.70259e-01 |107 -0.07737 -6.42912e-01 |108 -0.07322  9.77400e-01
109 -0.02966  1.61933e+00 |110  0.07212  7.15826e-02 |111  0.02293 -1.11489e+00
112  0.01452 -1.33682e-01 |113 -0.02806  4.35674e-01 |114 -0.06794  3.81193e-01
115 -0.00882  2.76982e-01 |116  0.00201 -8.37892e-02 |117 -0.02755  1.24418e-01
118  0.02751 -1.89000e-01 |119  0.07376 -3.13286e-01 |120  0.01206  3.44541e-02
121  0.08632  6.51241e-02 |122  0.00780 -4.34445e-01 |123  0.13719  9.08112e-02
124 -0.00353  2.86315e-01 |125 -0.04783 -3.12004e-01 |126 -0.05761  2.26548e-01
127 -0.02226  2.47978e-01 |128  0.09332 -3.38142e-02 |129  0.03141 -2.08406e-01
130  0.01655 -1.35345e-01 |131 -0.02790  2.31125e-02 |132 -0.01802 -1.32448e-01
133 -0.00602 -3.50600e-02 |134 -0.00041 -2.83214e-03 |135  0.28187 -9.87587e-03
136  0.19214  7.07156e-02 |

Initial statistics: 146 variables; iteration 0; function evaluation 0; phase 2
Function value 7.2546281e+03; maximum gradient component mag 1.0755e+02
Var    Value     Gradient |Var    Value     Gradient |Var    Value     Gradient
  1 -0.42628 -1.43779e+00 |  2  0.37110 -6.01254e-01 |  3 -0.12614 -4.46770e+01
  4 -0.01321 -1.77171e+01 |  5 -0.70915 -9.17697e-01 |  6 -0.60419  5.37021e+01
  7  0.37628  7.93181e+00 |  8 -0.18524  1.07554e+02 |  9  0.03399  2.72335e+01
 10 -0.60948  1.67741e+00 | 11 -0.62338  6.89102e+01 | 12 -0.09710 -1.06632e-01
 13 -0.01062 -3.37202e-02 | 14 -0.01086 -3.79672e-02 | 15 -0.01110 -4.22750e-02
 16 -0.01134 -4.66340e-02 | 17 -0.01157 -5.10194e-02 | 18 -0.01179 -5.53776e-02
