
Initial statistics: 136 variables; iteration 0; function evaluation 0; phase 1
Function value 7.3259025e+03; maximum gradient component mag -2.6141e+02
100  0.00968 -1.01963e+01 |101 -0.04012 -9.33053e+00 |102  0.04605  1.11078e+01
103 -0.01319 -9.76235e+00 |104  0.01075 -4.02134e+00 |105 -0.01357  1.43686e+01
106 -0.02462  4.66860e+01 |107 -0.03379  6.19146e+01 |108 -0.03092  5.51424e+01
109 -0.05662  5.57463e+00 |110  0.04763  5.41690e+00 |111  0.02585  1.40318e+01
112 -0.00122  7.61625e+00 |113 -0.01581  1.82724e+01 |114 -0.06612  8.22931e+00
115 -0.00878  9.30108e+00 |116  0.00916  8.43739e+00 |117 -0.03950 -3.00838e+00
118 -0.00301 -1.15231e+01 |119  0.07733 -7.35284e+00 |120 -0.03687 -1.60486e+01
121  0.07952 -7.27116e+00 |122 -0.02418 -1.09234e+01 |123  0.13395  6.00294e+00
124 -0.01221 -1.48357e+00 |125 -0.04646  9.22559e-01 |126 -0.06387 -2.07323e+00
127 -0.02553 -8.28250e-01 |128  0.09747  2.69162e+00 |129  0.03571  2.19145e+00
130  0.02355  2.90161e+00 |131 -0.03095 -8.74446e-01 |132 -0.02062 -7.53749e-01
133 -0.00893 -7.50836e-01 |134 -0.00055 -3.34381e-02 |135  0.31097  1.13570e+01
136  0.21180 -1.57555e+01 |

 - final statistics:
136 variables; iteration 39; function evaluation 54
Function value 7.2821e+03; maximum gradient component mag -9.4233e+00
Exit code = 1;  converg criter 1.0000e+01
Var    Value     Gradient |Var    Value     Gradient |Var    Value     Gradient
  1 -0.42267 -9.42332e+00 |  2 -0.09595  4.08317e+00 |  3 -0.01003  4.00670e-02
  4 -0.01025  3.99976e-02 |  5 -0.01047  4.00429e-02 |  6 -0.01069  4.02388e-02
  7 -0.01090  4.06224e-02 |  8 -0.01110  4.12374e-02 |  9 -0.01130  4.21293e-02
 10 -0.01148  4.33444e-02 | 11 -0.01166  4.49303e-02 | 12 -0.01182  4.69346e-02
 13 -0.01197  4.94038e-02 | 14 -0.01210  5.23824e-02 | 15 -0.01222  5.59116e-02
 16 -0.01231  6.00277e-02 | 17 -0.01239  6.47610e-02 | 18 -0.01244  7.01363e-02
 19 -0.01247  7.61735e-02 | 20 -0.01247  8.28893e-02 | 21 -0.01245  9.02964e-02
 22 -0.01240  9.83968e-02 | 23 -0.01232  1.07177e-01 | 24 -0.01221  1.16599e-01
 25 -0.01207  1.26591e-01 | 26 -0.01189  1.37036e-01 | 27 -0.01167  1.47775e-01
 28 -0.01142  1.58600e-01 | 29 -0.01113  1.69265e-01 | 30 -0.01079  1.79465e-01
 31 -0.01043  1.88948e-01 | 32 -0.01003  1.97400e-01 | 33 -0.00960  2.04527e-01
 34 -0.00914  2.10074e-01 | 35 -0.00867  2.13846e-01 | 36 -0.00818  2.15742e-01
 37 -0.00769  2.15775e-01 | 38 -0.00721  2.14025e-01 | 39 -0.00675  2.10608e-01
 40 -0.00631  2.05607e-01 | 41 -0.00591  1.99013e-01 | 42 -0.00556  1.90706e-01
 43 -0.00526  1.80500e-01 | 44 -0.00501  1.68119e-01 | 45 -0.00480  1.53218e-01
 46 -0.00462  1.35444e-01 | 47 -0.00445  1.14459e-01 | 48 -0.00427  8.99064e-02
 49 -0.00406  6.13987e-02 | 50 -0.00378  2.82954e-02 | 51 -0.00341 -1.05368e-02
 52 -0.00293 -5.70345e-02 | 53 -0.00231 -1.13929e-01 | 54 -0.00153 -1.83997e-01
 55 -0.00057 -2.67623e-01 | 56  0.00062 -3.58651e-01 | 57  0.00214 -4.39298e-01
 58  0.00413 -4.81692e-01 | 59  0.00667 -4.68041e-01 | 60  0.00962 -4.31821e-01
 61  0.01252 -4.69874e-01 | 62  0.01512 -6.14522e-01 | 63  0.01836 -6.42674e-01
 64  0.02313 -3.56334e-01 | 65  0.02710 -2.00285e-01 | 66  0.02861 -4.31293e-01
 67  0.03052 -4.57375e-01 | 68  0.03258 -3.17796e-01 | 69  0.03353 -2.38049e-01
 70  0.03351 -2.05979e-01 | 71  0.03281 -1.87852e-01 | 72  0.03157 -1.67906e-01
 73  0.03004 -9.31498e-02 | 74  0.02793  1.15502e-03 | 75  0.02308 -3.03385e-01
 76  0.02004 -1.47667e-01 | 77  0.01932  5.43156e-01 | 78  0.01325  1.59669e-02
 79  0.00913 -2.87088e-01 | 80  0.00751 -2.41547e-01 | 81  0.00690 -1.30266e-01
 82  0.00639 -7.04831e-02 | 83  0.00575 -9.17465e-02 | 84  0.00539 -2.09043e-01
 85  0.00533 -4.39304e-01 | 86  0.00591 -4.26067e-01 | 87  0.00776 -4.59668e-01
 88  0.00814 -1.01799e+00 | 89  0.00941 -1.63331e+00 | 90  0.01002 -1.50854e+00
 91  0.00985 -1.27319e+00 | 92  0.00702 -1.65070e+00 | 93  0.00228 -1.24878e+00
 94  0.00689 -1.21680e+00 | 95  0.02316 -3.63383e+00 | 96  0.02571 -3.78584e+00
 97  0.00322 -2.03912e+00 | 98  0.01511 -1.60927e+00 | 99  0.07380  2.82067e-01
100  0.02238 -7.03749e-01 |101 -0.00658  2.16631e+00 |102  0.01110  2.34387e+00
103  0.02094  4.81652e-01 |104  0.03502  1.50441e+00 |105 -0.01101  2.03758e+00
106 -0.05422  4.34627e+00 |107 -0.07695  5.14375e+00 |108 -0.07004  5.38061e+00
109 -0.03603  2.55283e+00 |110  0.07137  5.71491e+00 |111  0.02022  4.28451e-01
112  0.01089 -8.88505e-01 |113 -0.02788  1.00714e-01 |114 -0.07109 -1.99755e+00
115 -0.01025 -2.63522e+00 |116  0.00090 -2.34636e+00 |117 -0.02638 -1.78009e-01
118  0.02631 -7.74908e-01 |119  0.07174 -4.33768e-01 |120  0.01084  1.05836e-01
121  0.07875 -1.71916e+00 |122  0.00526 -1.95799e-01 |123  0.13181  1.48087e-01
124 -0.00415  8.65335e-01 |125 -0.04761 -2.72412e-01 |126 -0.05603  3.74448e-01
127 -0.02177  5.14689e-02 |128  0.09084 -1.25550e+00 |129  0.03618  1.64293e+00
130  0.01815  6.27866e-01 |131 -0.02893 -3.00717e-01 |132 -0.01861 -2.76217e-01
133 -0.00521  1.85221e-01 |134 -0.00039  2.96229e-03 |135  0.28284  3.98594e+00
136  0.19247  3.30216e+00 |

Initial statistics: 146 variables; iteration 0; function evaluation 0; phase 2
Function value 7.2820972e+03; maximum gradient component mag 2.4373e+01
Var    Value     Gradient |Var    Value     Gradient |Var    Value     Gradient
  1 -0.42267 -9.42332e+00 |  2  0.37110  1.04247e+00 |  3 -0.12614 -1.60251e+01
  4 -0.01321 -9.55040e+00 |  5 -0.70915 -2.09025e+00 |  6 -0.60419  5.79371e+00
  7  0.37628  2.96524e+00 |  8 -0.18524  2.43727e+01 |  9  0.03399  1.37599e+01
 10 -0.60948  2.22056e+00 | 11 -0.62338 -7.99503e+00 | 12 -0.09595  4.08317e+00
 13 -0.01003  4.00670e-02 | 14 -0.01025  3.99976e-02 | 15 -0.01047  4.00429e-02
 16 -0.01069  4.02388e-02 | 17 -0.01090  4.06224e-02 | 18 -0.01110  4.12374e-02
 19 -0.01130  4.21293e-02 | 20 -0.01148  4.33444e-02 | 21 -0.01166  4.49303e-02
 22 -0.01182  4.69346e-02 | 23 -0.01197  4.94038e-02 | 24 -0.01210  5.23824e-02
 25 -0.01222  5.59116e-02 | 26 -0.01231  6.00277e-02 | 27 -0.01239  6.47610e-02
 28 -0.01244  7.01363e-02 | 29 -0.01247  7.61735e-02 | 30 -0.01247  8.28893e-02
 31 -0.01245  9.02964e-02 | 32 -0.01240  9.83968e-02 | 33 -0.01232  1.07177e-01
 34 -0.01221  1.16599e-01 | 35 -0.01207  1.26591e-01 | 36 -0.01189  1.37036e-01
 37 -0.01167  1.47775e-01 | 38 -0.01142  1.58600e-01 | 39 -0.01113  1.69265e-01
 40 -0.01079  1.79465e-01 | 41 -0.01043  1.88948e-01 | 42 -0.01003  1.97400e-01
 43 -0.00960  2.04527e-01 | 44 -0.00914  2.10074e-01 | 45 -0.00867  2.13846e-01
 46 -0.00818  2.15742e-01 | 47 -0.00769  2.15775e-01 | 48 -0.00721  2.14025e-01
 49 -0.00675  2.10608e-01 | 50 -0.00631  2.05607e-01 | 51 -0.00591  1.99013e-01
 52 -0.00556  1.90706e-01 | 53 -0.00526  1.80500e-01 | 54 -0.00501  1.68119e-01
 55 -0.00480  1.53218e-01 | 56 -0.00462  1.35444e-01 | 57 -0.00445  1.14459e-01
 58 -0.00427  8.99064e-02 | 59 -0.00406  6.13987e-02 | 60 -0.00378  2.82954e-02
 61 -0.00341 -1.05368e-02 | 62 -0.00293 -5.70345e-02 | 63 -0.00231 -1.13929e-01
 64 -0.00153 -1.83997e-01 | 65 -0.00057 -2.67623e-01 | 66  0.00062 -3.58651e-01
 67  0.00214 -4.39298e-01 | 68  0.00413 -4.81692e-01 | 69  0.00667 -4.68041e-01
 70  0.00962 -4.31821e-01 | 71  0.01252 -4.69874e-01 | 72  0.01512 -6.14522e-01
 73  0.01836 -6.42674e-01 | 74  0.02313 -3.56334e-01 | 75  0.02710 -2.00285e-01
 76  0.02861 -4.31293e-01 | 77  0.03052 -4.57375e-01 | 78  0.03258 -3.17796e-01
 79  0.03353 -2.38049e-01 | 80  0.03351 -2.05979e-01 | 81  0.03281 -1.87852e-01
 82  0.03157 -1.67906e-01 | 83  0.03004 -9.31498e-02 | 84  0.02793  1.15502e-03
 85  0.02308 -3.03385e-01 | 86  0.02004 -1.47667e-01 | 87  0.01932  5.43156e-01
 88  0.01325  1.59669e-02 | 89  0.00913 -2.87088e-01 | 90  0.00751 -2.41547e-01
 91  0.00690 -1.30266e-01 | 92  0.00639 -7.04831e-02 | 93  0.00575 -9.17465e-02
 94  0.00539 -2.09043e-01 | 95  0.00533 -4.39304e-01 | 96  0.00591 -4.26067e-01
 97  0.00776 -4.59668e-01 | 98  0.00814 -1.01799e+00 | 99  0.00941 -1.63331e+00
100  0.01002 -1.50854e+00 |101  0.00985 -1.27319e+00 |102  0.00702 -1.65070e+00
103  0.00228 -1.24878e+00 |104  0.00689 -1.21680e+00 |105  0.02316 -3.63383e+00
106  0.02571 -3.78584e+00 |107  0.00322 -2.03912e+00 |108  0.01511 -1.60927e+00
109  0.07380  2.82067e-01 |110  0.02238 -7.03749e-01 |111 -0.00658  2.16631e+00
112  0.01110  2.34387e+00 |113  0.02094  4.81652e-01 |114  0.03502  1.50441e+00
115 -0.01101  2.03758e+00 |116 -0.05422  4.34627e+00 |117 -0.07695  5.14375e+00
118 -0.07004  5.38061e+00 |119 -0.03603  2.55283e+00 |120  0.07137  5.71491e+00
121  0.02022  4.28451e-01 |122  0.01089 -8.88505e-01 |123 -0.02788  1.00714e-01
124 -0.07109 -1.99755e+00 |125 -0.01025 -2.63522e+00 |126  0.00090 -2.34636e+00
127 -0.02638 -1.78009e-01 |128  0.02631 -7.74908e-01 |129  0.07174 -4.33768e-01
130  0.01084  1.05836e-01 |131  0.07875 -1.71916e+00 |132  0.00526 -1.95799e-01
133  0.13181  1.48087e-01 |134 -0.00415  8.65335e-01 |135 -0.04761 -2.72412e-01
