
Initial statistics: 134 variables; iteration 0; function evaluation 0; phase 1
Function value 7.3057088e+03; maximum gradient component mag -1.3091e+02
Var    Value     Gradient |Var    Value     Gradient |Var    Value     Gradient
112  0.00144  4.93398e+00 |113 -0.03728  4.59628e+00 |114 -0.06434  8.95494e+00
115 -0.01515  6.81469e+00 |116 -0.00133  5.51088e+00 |117 -0.03869 -9.33937e-01
118  0.01054 -7.13173e+00 |119  0.04775 -1.34859e+01 |120 -0.00778 -7.29770e+00
121  0.07575 -7.03125e-01 |122 -0.01371 -5.60782e+00 |123  0.11333 -9.60890e+00
124 -0.01057  1.10696e-01 |125 -0.04793  1.26638e+00 |126 -0.05983  1.74485e-01
127 -0.02841 -1.13380e+00 |128  0.08789 -7.32569e-01 |129  0.02635 -8.09348e-01
130  0.01700  1.19763e+00 |131 -0.03241 -9.26226e-01 |132 -0.02059 -6.02466e-01
133 -0.00725 -2.82047e-01 |134 -0.00052 -2.25266e-02 |

 - final statistics:
134 variables; iteration 31; function evaluation 49
Function value 7.2674e+03; maximum gradient component mag -6.6666e+00
Exit code = 1;  converg criter 1.0000e+01
Var    Value     Gradient |Var    Value     Gradient |Var    Value     Gradient
  1 -0.42200 -4.07559e+00 |  2 -0.11339 -4.61697e+00 |  3 -0.00974  8.65575e-02
  4 -0.00996  8.65734e-02 |  5 -0.01018  8.65092e-02 |  6 -0.01039  8.63804e-02
  7 -0.01060  8.62315e-02 |  8 -0.01081  8.60749e-02 |  9 -0.01100  8.59406e-02
 10 -0.01119  8.58768e-02 | 11 -0.01137  8.59406e-02 | 12 -0.01154  8.62015e-02
 13 -0.01169  8.67390e-02 | 14 -0.01183  8.76402e-02 | 15 -0.01196  8.89910e-02
 16 -0.01206  9.08660e-02 | 17 -0.01215  9.33269e-02 | 18 -0.01221  9.64376e-02
 19 -0.01225  1.00296e-01 | 20 -0.01226  1.05043e-01 | 21 -0.01225  1.10870e-01
 22 -0.01221  1.17950e-01 | 23 -0.01213  1.26440e-01 | 24 -0.01203  1.36460e-01
 25 -0.01189  1.48074e-01 | 26 -0.01171  1.61287e-01 | 27 -0.01149  1.76048e-01
 28 -0.01123  1.92283e-01 | 29 -0.01092  2.09891e-01 | 30 -0.01058  2.28612e-01
 31 -0.01019  2.48527e-01 | 32 -0.00977  2.69345e-01 | 33 -0.00931  2.90755e-01
 34 -0.00882  3.12374e-01 | 35 -0.00831  3.33719e-01 | 36 -0.00778  3.54288e-01
 37 -0.00725  3.73653e-01 | 38 -0.00673  3.91378e-01 | 39 -0.00624  4.07098e-01
 40 -0.00577  4.20468e-01 | 41 -0.00535  4.31122e-01 | 42 -0.00499  4.38672e-01
 43 -0.00469  4.42953e-01 | 44 -0.00444  4.43763e-01 | 45 -0.00425  4.40760e-01
 46 -0.00409  4.33597e-01 | 47 -0.00396  4.21953e-01 | 48 -0.00381  4.05519e-01
 49 -0.00363  3.84643e-01 | 50 -0.00338  3.60245e-01 | 51 -0.00302  3.34354e-01
 52 -0.00251  3.10111e-01 | 53 -0.00179  2.92312e-01 | 54 -0.00080  2.87164e-01
 55  0.00052  3.01511e-01 | 56  0.00222  3.41260e-01 | 57  0.00434  4.07930e-01
 58  0.00688  4.94211e-01 | 59  0.00976  5.78302e-01 | 60  0.01281  6.21944e-01
 61  0.01579  5.80513e-01 | 62  0.01852  4.34117e-01 | 63  0.02105  2.25894e-01
 64  0.02370  5.56265e-02 | 65  0.02668 -3.30982e-03 | 66  0.02974  3.11701e-02
 67  0.03240  1.02956e-01 | 68  0.03436  1.80356e-01 | 69  0.03548  2.43481e-01
