
Initial statistics: 108 variables; iteration 0; function evaluation 0; phase 1
Function value 7.3786824e+03; maximum gradient component mag -2.5954e+02
Var    Value     Gradient |Var    Value     Gradient |Var    Value     Gradient
Function value 7.3348e+03; maximum gradient component mag 9.2840e+00
Exit code = 0;  converg criter 1.0000e+01
Var    Value     Gradient |Var    Value     Gradient |Var    Value     Gradient
  1 -0.42301 -7.09361e+00 |  2  0.37110  2.31813e+00 |  3 -0.12614  6.30081e-01
  4 -0.01321  1.32655e+00 |  5 -0.70915  1.09578e+00 |  6 -0.60419  3.22881e-01
  7  0.37628 -2.76951e+00 |  8 -0.18524 -1.85114e+00 |  9  0.03399 -1.07943e+00
 10 -0.60948 -6.83508e-01 | 11 -0.62338 -5.54088e+00 | 12 -0.08946  6.02617e+00
 13 -0.01211  2.15946e-01 | 14 -0.01184  1.83903e-01 | 15 -0.01153  1.50483e-01
 16 -0.01119  1.16257e-01 | 17 -0.01081  8.18998e-02 | 18 -0.01040  4.81422e-02
 19 -0.00997  1.56942e-02 | 20 -0.00953 -1.48376e-02 | 21 -0.00907 -4.29910e-02
 22 -0.00862 -6.84605e-02 | 23 -0.00818 -9.11004e-02 | 24 -0.00776 -1.10950e-01
 25 -0.00738 -1.28255e-01 | 26 -0.00702 -1.43462e-01 | 27 -0.00669 -1.57148e-01
 28 -0.00638 -1.69922e-01 | 29 -0.00606 -1.82460e-01 | 30 -0.00573 -1.95649e-01
 31 -0.00536 -2.10680e-01 | 32 -0.00493 -2.29129e-01 | 33 -0.00442 -2.52793e-01
 34 -0.00381 -2.83284e-01 | 35 -0.00307 -3.20981e-01 | 36 -0.00215 -3.63325e-01
 37 -0.00099 -4.02504e-01 | 38  0.00048 -4.23826e-01 | 39  0.00240 -4.06153e-01
 40  0.00486 -3.29412e-01 | 41  0.00790 -1.91212e-01 | 42  0.01137 -2.75073e-02
 43  0.01491  8.43547e-02 | 44  0.01809  7.18983e-02 | 45  0.02088 -4.21158e-02
 46  0.02384 -1.08022e-01 | 47  0.02747  6.76362e-03 | 48  0.03126  2.29474e-01
 49  0.03383  3.36934e-01 | 50  0.03453  2.39975e-01 | 51  0.03418  9.58722e-02
 52  0.03349  1.44902e-02 | 53  0.03256 -9.54888e-03 | 54  0.03158  4.86683e-02
 55  0.03065  2.18224e-01 | 56  0.02890  3.58085e-01 | 57  0.02500  2.10185e-01
 58  0.02012 -4.93995e-02 | 59  0.01651 -3.28631e-02 | 60  0.01399  1.34998e-01
 61  0.01152  1.29625e-01 | 62  0.00911 -9.48279e-02 | 63  0.00710 -4.18472e-01
 64  0.00557 -7.35986e-01 | 65  0.00464 -9.91261e-01 | 66  0.00481 -1.18659e+00
 67  0.00607 -1.36188e+00 | 68  0.00698 -1.57845e+00 | 69  0.00868 -2.02984e+00
 70  0.01102 -2.63152e+00 | 71  0.01319 -3.64873e+00 | 72  0.01251 -4.39959e+00
 73  0.00939 -5.30197e+00 | 74  0.00603 -6.06013e+00 | 75 -0.00356 -6.38623e+00
 76  0.00091 -5.66000e+00 | 77  0.02375 -5.38815e+00 | 78  0.02746 -3.58503e+00
 79 -0.00441 -3.93539e+00 | 80  0.00494 -5.26249e+00 | 81  0.09900 -1.15752e+00
 82  0.01715 -4.13870e+00 | 83 -0.01513 -1.32620e+00 | 84  0.00806  9.05205e-01
 85  0.01758  1.64855e+00 | 86  0.04325  7.40515e+00 | 87  0.00980  9.28396e+00
 88 -0.06028  5.19829e+00 | 89 -0.07209  7.06429e+00 | 90 -0.06898  7.78130e+00
 91 -0.02562  7.39634e+00 | 92  0.06660  3.05437e+00 | 93  0.03262  5.72858e+00
 94  0.01753  2.09220e+00 | 95 -0.03351 -3.80870e+00 | 96 -0.07212 -3.17480e+00
 97 -0.00195 -3.30542e-01 | 98  0.00451 -1.54628e+00 | 99 -0.02381  7.57238e-02
100  0.03181 -2.98150e-01 |101  0.07406 -2.43535e+00 |102  0.00454 -2.92340e+00
103  0.08809  1.94814e+00 |104  0.00919  1.66818e+00 |105  0.13591  1.68279e+00
106 -0.00489 -1.13786e-01 |107 -0.04860 -1.05507e+00 |108 -0.05637 -2.73605e-02
109 -0.02317 -6.56425e-01 |110  0.09023 -2.25706e+00 |111  0.03217 -1.83439e-01
112  0.02190  1.85549e+00 |113 -0.02721  1.24146e-01 |114 -0.01577  4.83308e-01
115 -0.00563  4.43977e-02 |116 -0.00038  3.15657e-03 |117  0.27122  3.42653e+00
118  0.18389  5.65010e+00 |

Initial statistics: 148 variables; iteration 0; function evaluation 0; phase 3
Function value 7.3348407e+03; maximum gradient component mag 9.2840e+00
Var    Value     Gradient |Var    Value     Gradient |Var    Value     Gradient
  1 -0.42301 -7.09361e+00 |  2  0.37110  2.31813e+00 |  3 -0.12614  6.30081e-01
  4 -0.01321  1.32655e+00 |  5 -0.70915  1.09578e+00 |  6 -0.60419  3.22881e-01
  7  0.37628 -2.76951e+00 |  8 -0.18524 -1.85114e+00 |  9  0.03399 -1.07943e+00
 10 -0.60948 -6.83508e-01 | 11 -0.62338 -5.54088e+00 | 12 -0.08946  6.02617e+00
 13 -0.01211  2.15946e-01 | 14 -0.01184  1.83903e-01 | 15 -0.01153  1.50483e-01
 16 -0.01119  1.16257e-01 | 17 -0.01081  8.18998e-02 | 18 -0.01040  4.81422e-02
 19 -0.00997  1.56942e-02 | 20 -0.00953 -1.48376e-02 | 21 -0.00907 -4.29910e-02
 22 -0.00862 -6.84605e-02 | 23 -0.00818 -9.11004e-02 | 24 -0.00776 -1.10950e-01
 25 -0.00738 -1.28255e-01 | 26 -0.00702 -1.43462e-01 | 27 -0.00669 -1.57148e-01
 28 -0.00638 -1.69922e-01 | 29 -0.00606 -1.82460e-01 | 30 -0.00573 -1.95649e-01
 31 -0.00536 -2.10680e-01 | 32 -0.00493 -2.29129e-01 | 33 -0.00442 -2.52793e-01
 34 -0.00381 -2.83284e-01 | 35 -0.00307 -3.20981e-01 | 36 -0.00215 -3.63325e-01
 37 -0.00099 -4.02504e-01 | 38  0.00048 -4.23826e-01 | 39  0.00240 -4.06153e-01
 40  0.00486 -3.29412e-01 | 41  0.00790 -1.91212e-01 | 42  0.01137 -2.75073e-02
 43  0.01491  8.43547e-02 | 44  0.01809  7.18983e-02 | 45  0.02088 -4.21158e-02
 46  0.02384 -1.08022e-01 | 47  0.02747  6.76362e-03 | 48  0.03126  2.29474e-01
 49  0.03383  3.36934e-01 | 50  0.03453  2.39975e-01 | 51  0.03418  9.58722e-02
 52  0.03349  1.44902e-02 | 53  0.03256 -9.54888e-03 | 54  0.03158  4.86683e-02
 55  0.03065  2.18224e-01 | 56  0.02890  3.58085e-01 | 57  0.02500  2.10185e-01
 58  0.02012 -4.93995e-02 | 59  0.01651 -3.28631e-02 | 60  0.01399  1.34998e-01
 61  0.01152  1.29625e-01 | 62  0.00911 -9.48279e-02 | 63  0.00710 -4.18472e-01
 64  0.00557 -7.35986e-01 | 65  0.00464 -9.91261e-01 | 66  0.00481 -1.18659e+00
 67  0.00607 -1.36188e+00 | 68  0.00698 -1.57845e+00 | 69  0.00868 -2.02984e+00
 70  0.01102 -2.63152e+00 | 71  0.01319 -3.64873e+00 | 72  0.01251 -4.39959e+00
 73  0.00939 -5.30197e+00 | 74  0.00603 -6.06013e+00 | 75 -0.00356 -6.38623e+00
 76  0.00091 -5.66000e+00 | 77  0.02375 -5.38815e+00 | 78  0.02746 -3.58503e+00
 79 -0.00441 -3.93539e+00 | 80  0.00494 -5.26249e+00 | 81  0.09900 -1.15752e+00
 82  0.01715 -4.13870e+00 | 83 -0.01513 -1.32620e+00 | 84  0.00806  9.05205e-01
 85  0.01758  1.64855e+00 | 86  0.04325  7.40515e+00 | 87  0.00980  9.28396e+00
 88 -0.06028  5.19829e+00 | 89 -0.07209  7.06429e+00 | 90 -0.06898  7.78130e+00
 91 -0.02562  7.39634e+00 | 92  0.06660  3.05437e+00 | 93  0.03262  5.72858e+00
 94  0.01753  2.09220e+00 | 95 -0.03351 -3.80870e+00 | 96 -0.07212 -3.17480e+00
 97 -0.00195 -3.30542e-01 | 98  0.00451 -1.54628e+00 | 99 -0.02381  7.57238e-02
100  0.03181 -2.98150e-01 |101  0.07406 -2.43535e+00 |102  0.00454 -2.92340e+00
103  0.08809  1.94814e+00 |104  0.00919  1.66818e+00 |105  0.13591  1.68279e+00
106 -0.00489 -1.13786e-01 |107 -0.04860 -1.05507e+00 |108 -0.05637 -2.73605e-02
109 -0.02317 -6.56425e-01 |110  0.09023 -2.25706e+00 |111  0.03217 -1.83439e-01
112  0.02190  1.85549e+00 |113 -0.02721  1.24146e-01 |114 -0.01577  4.83308e-01
115 -0.00563  4.43977e-02 |116 -0.00038  3.15657e-03 |117  0.27122  3.42653e+00
118  0.18389  5.65010e+00 |119  0.04662  3.95485e-01 |120  0.29671 -3.02497e+00
121 -0.47544  3.94568e-02 |122  0.31377  3.86736e-02 |123  0.18255  2.32066e+00
124  0.25986 -3.69411e+00 |125  0.17459 -7.85051e-01 |126  0.25418  3.44284e-01
127  0.10351  1.25739e-01 |128  0.29677 -7.31659e-01 |129  0.16893 -6.79533e-01
130  0.24623  1.04845e+00 |131 -0.35197 -2.54985e-01 |132  0.24281  1.16452e-01
133  0.20265 -1.33564e+00 |134  0.31675  4.39733e+00 |135 -0.38040  4.90387e-01
136  0.23607 -7.62679e-01 |137  0.05118 -2.72892e+00 |138  0.11969 -3.41518e+00
139  0.32140  3.89589e+00 |140  0.27252  4.52934e+00 |141  0.01343 -8.94797e-01
142  0.39319 -7.41314e-02 |143  0.09932 -8.21585e+00 |144  0.16368 -5.79228e+00
145  0.21870  8.76629e+00 |146  0.25726  2.12232e-01 |147 -0.55411  1.57987e+00
148  0.17113 -6.15643e-01 |

Intermediate statistics: 148 variables; iteration 20; function evaluation 21; phase 3
Function value 7.3346125e+03; maximum gradient component mag -3.7614e+01
Var    Value     Gradient |Var    Value     Gradient |Var    Value     Gradient
  1 -0.42368 -3.47876e+01 |  2  0.37146  1.93914e+01 |  3 -0.12639 -1.39559e+01
  4 -0.01319  6.42702e-01 |  5 -0.70875 -9.37453e-01 |  6 -0.60460 -1.45371e+01
  7  0.37614 -5.09018e+00 |  8 -0.18476  1.19535e+01 |  9  0.03380 -1.70540e+00
 10 -0.61042 -8.83741e-01 | 11 -0.62340 -5.52734e+00 | 12 -0.09265  1.36513e+01
 13 -0.01223  2.14318e-01 | 14 -0.01186  2.15494e-01 | 15 -0.01145  2.16710e-01
 16 -0.01100  2.18063e-01 | 17 -0.01052  2.19660e-01 | 18 -0.01001  2.21618e-01
 19 -0.00948  2.24066e-01 | 20 -0.00894  2.27113e-01 | 21 -0.00840  2.30848e-01
 22 -0.00787  2.35328e-01 | 23 -0.00737  2.40556e-01 | 24 -0.00690  2.46480e-01
 25 -0.00647  2.53034e-01 | 26 -0.00607  2.60136e-01 | 27 -0.00571  2.67705e-01
 28 -0.00536  2.75687e-01 | 29 -0.00502  2.84017e-01 | 30 -0.00465  2.92558e-01
 31 -0.00424  3.01169e-01 | 32 -0.00376  3.09607e-01 | 33 -0.00318  3.17623e-01
 34 -0.00246  3.24927e-01 | 35 -0.00159  3.31467e-01 | 36 -0.00051  3.37721e-01
 37  0.00080  3.45026e-01 | 38  0.00238  3.56496e-01 | 39  0.00428  3.76418e-01
 40  0.00653  4.09528e-01 | 41  0.00916  4.57770e-01 | 42  0.01213  5.15025e-01
 43  0.01535  5.64503e-01 | 44  0.01867  5.86767e-01 | 45  0.02197  5.82419e-01
 46  0.02527  5.86653e-01 | 47  0.02860  6.37491e-01 | 48  0.03167  7.18967e-01
 49  0.03394  7.64350e-01 | 50  0.03510  7.40771e-01 | 51  0.03537  6.95054e-01
 52  0.03505  6.63112e-01 | 53  0.03423  6.44184e-01 | 54  0.03301  6.45446e-01
 55  0.03138  6.73354e-01 | 56  0.02900  6.83592e-01 | 57  0.02550  6.06202e-01
 58  0.02135  4.99075e-01 | 59  0.01741  4.61340e-01 | 60  0.01398  4.54683e-01
 61  0.01116  4.06001e-01 | 62  0.00908  3.11126e-01 | 63  0.00765  1.97121e-01
 64  0.00657  8.42108e-02 | 65  0.00576 -1.76181e-02 | 66  0.00568 -1.09774e-01
 67  0.00642 -2.00830e-01 | 68  0.00674 -3.02437e-01 | 69  0.00841 -4.47809e-01
 70  0.01097 -6.15222e-01 | 71  0.01466 -8.66071e-01 | 72  0.01472 -1.03178e+00
 73  0.01321 -1.21757e+00 | 74  0.01132 -1.36559e+00 | 75  0.00300 -1.40805e+00
 76  0.00434 -1.29185e+00 | 77  0.02430 -1.29568e+00 | 78  0.02360 -9.01664e-01
 79 -0.00161 -7.01585e-01 | 80  0.01473 -9.31238e-01 | 81  0.08984  4.39458e-01
 82  0.02743 -7.03561e-01 | 83 -0.01333 -3.34747e-01 | 84  0.00567 -3.98665e-01
 85  0.01958 -3.64073e-01 | 86  0.04074  1.26389e+00 | 87  0.00628  2.45142e+00
 88 -0.05939  2.26075e+00 | 89 -0.07490  2.59959e+00 | 90 -0.07320  2.35433e+00
 91 -0.03135  1.39365e+00 | 92  0.07067 -1.77100e+00 | 93  0.02522 -2.05359e+00
 94  0.01509 -2.50776e+00 | 95 -0.02772 -2.52587e+00 | 96 -0.06680 -1.57939e+00
 97 -0.00520 -2.21620e+00 | 98  0.00559 -2.28257e+00 | 99 -0.02601 -1.31436e+00
100  0.02930 -1.72404e+00 |101  0.07450 -1.80605e+00 |102  0.01062 -8.74663e-01
103  0.08470  1.69101e-01 |104  0.00700  1.39022e-01 |105  0.13487  6.49890e-01
106 -0.00467 -1.66339e-01 |107 -0.04621 -2.22601e-02 |108 -0.05632 -5.51963e-02
109 -0.02176 -8.55197e-02 |110  0.09414 -3.66120e-01 |111  0.03237 -4.08632e-02
112  0.01761  2.37379e-01 |113 -0.02769  5.45856e-02 |114 -0.01733 -4.02923e-02
115 -0.00571  1.53384e-01 |116 -0.00040  1.37823e-03 |117  0.27463  2.35776e+00
118  0.18621  3.75146e+00 |119  0.04703  1.13461e+01 |120  0.29651 -1.44496e+01
121 -0.47572 -1.11011e-01 |122  0.31397  7.38530e-02 |123  0.18247  5.82314e+00
124  0.25965 -9.80279e+00 |125  0.17436 -1.21162e+00 |126  0.25450  2.20688e+00
127  0.10289 -1.56859e-01 |128  0.29685  8.78542e-01 |129  0.16858 -8.74037e-01
130  0.24637  1.82197e+00 |131 -0.35182  5.83169e-01 |132  0.24280 -7.82538e-01
133  0.20261  1.21078e+00 |134  0.31596 -3.76195e+00 |135 -0.38023  1.91238e-02
136  0.23637  5.82120e-02 |137  0.05146  1.24565e+00 |138  0.11909 -9.21921e+00
139  0.32045 -3.16388e+00 |140  0.27353  1.31499e+01 |141  0.01360  7.81676e-01
142  0.39309 -7.78647e-01 |143  0.09925 -1.22727e+01 |144  0.16317  1.70699e+01
145  0.21912  1.47386e+01 |146  0.25641 -3.76135e+01 |147 -0.55399  9.53734e-01
148  0.17085 -4.02500e-01 |
148 variables; iteration 40; function evaluation 42; phase 3
Function value 7.3345737e+03; maximum gradient component mag -2.8141e+01
Var    Value     Gradient |Var    Value     Gradient |Var    Value     Gradient
  1 -0.42335 -2.37319e+01 |  2  0.37144  1.65876e+01 |  3 -0.12639 -1.06462e+01
  4 -0.01330  1.48830e+00 |  5 -0.70902 -5.24967e-01 |  6 -0.60439 -1.10057e+01
  7  0.37602 -4.24951e+00 |  8 -0.18498  1.07263e+01 |  9  0.03409  2.24449e-01
 10 -0.61069 -4.64376e-01 | 11 -0.62332 -3.81719e+00 | 12 -0.09976  8.57300e+00
 13 -0.01202  1.53058e-01 | 14 -0.01164  1.53116e-01 | 15 -0.01122  1.53047e-01
