
Initial statistics: 136 variables; iteration 0; function evaluation 0; phase 1
Function value 7.2873100e+03; maximum gradient component mag -1.1507e+01
Function value 7.2873054e+03; maximum gradient component mag 6.3686e+01
Var    Value     Gradient |Var    Value     Gradient |Var    Value     Gradient
  1 -0.42279  4.39578e+00 |  2  0.37110  4.30107e-01 |  3 -0.12614  4.86023e+01
  4 -0.01321  4.44759e+00 |  5 -0.70915  3.32963e-01 |  6 -0.60419  6.36865e+01
  7  0.37628 -4.23660e-01 |  8 -0.18524  2.47366e+00 |  9  0.03399 -1.35354e+00
 10 -0.60948 -5.17924e-01 | 11 -0.62338  2.30981e+01 | 12 -0.09289 -2.85025e+00
 13 -0.01009 -2.77481e-02 | 14 -0.01031 -2.83149e-02 | 15 -0.01053 -2.88802e-02
 16 -0.01074 -2.94527e-02 | 17 -0.01095 -3.00328e-02 | 18 -0.01115 -3.06081e-02
 19 -0.01135 -3.11872e-02 | 20 -0.01153 -3.17716e-02 | 21 -0.01171 -3.23505e-02
 22 -0.01188 -3.29311e-02 | 23 -0.01203 -3.35199e-02 | 24 -0.01217 -3.40990e-02
 25 -0.01229 -3.46786e-02 | 26 -0.01240 -3.52548e-02 | 27 -0.01249 -3.58283e-02
 28 -0.01256 -3.63925e-02 | 29 -0.01260 -3.69537e-02 | 30 -0.01262 -3.75010e-02
 31 -0.01262 -3.80372e-02 | 32 -0.01260 -3.85636e-02 | 33 -0.01254 -3.90737e-02
 34 -0.01246 -3.95676e-02 | 35 -0.01235 -4.00512e-02 | 36 -0.01220 -4.05097e-02
 37 -0.01202 -4.09489e-02 | 38 -0.01180 -4.13613e-02 | 39 -0.01154 -4.17455e-02
 40 -0.01125 -4.20947e-02 | 41 -0.01091 -4.24087e-02 | 42 -0.01054 -4.26900e-02
 43 -0.01013 -4.29254e-02 | 44 -0.00970 -4.31181e-02 | 45 -0.00924 -4.32664e-02
 46 -0.00876 -4.33547e-02 | 47 -0.00827 -4.33900e-02 | 48 -0.00779 -4.33586e-02
 49 -0.00732 -4.32658e-02 | 50 -0.00688 -4.31096e-02 | 51 -0.00647 -4.28882e-02
 52 -0.00610 -4.26198e-02 | 53 -0.00578 -4.23035e-02 | 54 -0.00551 -4.19356e-02
