
Initial statistics: 136 variables; iteration 0; function evaluation 0; phase 1
Function value 7.3096801e+03; maximum gradient component mag -2.6498e+02
  4 -0.01059 -6.88148e-02 |  5 -0.01082 -7.50616e-02 |  6 -0.01106 -8.18136e-02
  7 -0.01129 -8.90599e-02 |  8 -0.01152 -9.67737e-02 |  9 -0.01175 -1.04916e-01
 10 -0.01196 -1.13437e-01 | 11 -0.01217 -1.22268e-01 | 12 -0.01236 -1.31333e-01
 13 -0.01255 -1.40543e-01 | 14 -0.01272 -1.49801e-01 | 15 -0.01287 -1.59004e-01
 16 -0.01301 -1.68052e-01 | 17 -0.01312 -1.76835e-01 | 18 -0.01322 -1.85238e-01
 19 -0.01329 -1.93123e-01 | 20 -0.01333 -2.00339e-01 | 21 -0.01335 -2.06739e-01
 22 -0.01334 -2.12197e-01 | 23 -0.01329 -2.16609e-01 | 24 -0.01322 -2.19909e-01
 25 -0.01310 -2.22069e-01 | 26 -0.01295 -2.23104e-01 | 27 -0.01276 -2.23061e-01
 28 -0.01253 -2.22014e-01 | 29 -0.01226 -2.20046e-01 | 30 -0.01195 -2.17240e-01
 31 -0.01159 -2.13674e-01 | 32 -0.01119 -2.09395e-01 | 33 -0.01076 -2.04406e-01
 34 -0.01029 -1.98623e-01 | 35 -0.00980 -1.91853e-01 | 36 -0.00929 -1.83791e-01
 37 -0.00876 -1.74070e-01 | 38 -0.00822 -1.62337e-01 | 39 -0.00769 -1.48348e-01
 40 -0.00718 -1.32041e-01 | 41 -0.00669 -1.13569e-01 | 42 -0.00624 -9.32923e-02
 43 -0.00583 -7.17545e-02 | 44 -0.00547 -4.96978e-02 | 45 -0.00514 -2.80871e-02
 46 -0.00485 -8.11952e-03 | 47 -0.00457  8.76000e-03 | 48 -0.00429  2.07828e-02
 49 -0.00399  2.59152e-02 | 50 -0.00365  2.18844e-02 | 51 -0.00324  6.63306e-03
 52 -0.00274 -2.08143e-02 | 53 -0.00211 -5.83149e-02 | 54 -0.00128 -9.74071e-02
 55 -0.00014 -1.19445e-01 | 56  0.00147 -9.41283e-02 | 57  0.00371  1.20516e-02
 58  0.00666  2.07059e-01 | 59  0.01006  4.23566e-01 | 60  0.01314  4.85783e-01
 61  0.01492  1.92980e-01 | 62  0.01549 -3.90794e-01 | 63  0.01715 -7.42022e-01
 64  0.02051 -7.28910e-01 | 65  0.02330 -7.88632e-01 | 66  0.02753 -4.96949e-01
 67  0.03180 -1.06763e-01 | 68  0.03326 -1.09948e-01 | 69  0.03470  1.50050e-02
 70  0.03645  3.10128e-01 | 71  0.03670  4.36804e-01 | 72  0.03485  2.77821e-01
 73  0.03133 -9.16368e-02 | 74  0.02679 -5.47034e-01 | 75  0.02103 -1.13362e+00
 76  0.01684 -1.32643e+00 | 77  0.01293 -1.44148e+00 | 78  0.00956 -1.52016e+00
 79  0.01051 -8.23828e-01 | 80  0.01067 -4.97239e-01 | 81  0.00878 -8.02814e-01
